ID;Product_ID;Date;Stars;Feedback
1;2354;26.08.2025;4;Gutes Produkt, würde es wieder kaufen.
2;7325;26.08.2025;1;Schlechte Qualität, und das zu dem Preis!
3;4478;26.08.2025;1;Bereits defekt hier angekommen, daher keine Kaufempfehlung.
4;2354;26.08.2025;5;Super, schnelle Lieferung und funktioniert einwandfrei.
5;2354;26.08.2025;4;Macht was es soll.
6;3400;23.08.2025;1;Nach zweimaliger Nutzung ist das Gerät schon kaputt.
7;7325;26.08.2025;5;Schnelle Lieferung, alles ok.
8;2198;25.08.2025;2;Drei Wochen Lieferzeit, das ist nicht ok.
9;3400;26.08.2025;4;Lieferung wie beschrieben.
10;3400;26.08.2025;1;Am liebsten würde ich keinen Stern vergeben, totaler Müll.
